chr	cM_pos
1	77.8
1	78.0
1	78.2
1	78.4
1	78.6
1	78.8
1	79.0
1	79.2
1	79.4
1	79.6
1	79.8
1	80.0
1	80.2
1	80.4
1	80.6
1	80.8
1	81.0
1	81.2
1	81.4
1	81.6
1	81.8
1	82.0
1	82.2
1	82.4
1	82.6
1	82.8
1	83.0
1	83.2
1	83.4
1	83.6
1	83.8
1	84.0
1	84.2
1	84.4
1	84.6
1	84.8
1	85.0
1	85.2
1	85.4
1	85.6
1	85.8
1	86.0
1	86.2
1	86.4
1	86.6
1	86.8
1	87.0
1	87.2
1	87.4
1	87.6
1	87.8
1	88.0
1	88.2
1	88.4
1	88.6
1	88.8
1	89.0
1	89.2
1	89.4
1	89.6
1	89.8
1	90.0
1	90.2
1	90.4
1	90.6
1	90.8
1	91.0
1	91.2
1	91.4
1	91.6
1	91.8
1	92.0
1	92.2
1	92.4
1	92.6
1	92.8
1	93.0
1	93.2
1	93.4
1	93.6
1	93.8
1	94.0
1	94.2
1	94.4
1	94.6
1	94.8
1	95.0
1	95.2
1	95.4
1	95.6
1	95.8
1	96.0
1	96.2
1	96.4
1	96.6
1	96.8
1	97.0
1	97.2
1	97.4
1	97.6
1	97.8
1	98.0
1	98.2
1	98.4
1	98.6
1	98.8
1	99.0
1	99.2
1	99.4
1	99.6
1	99.8
1	100.0
1	100.2
1	100.4
1	100.6
1	100.8
1	101.0
1	101.2
1	101.4
1	101.6
1	101.8
1	102.0
1	102.2
1	102.4
1	102.6
1	102.8
1	103.0
1	103.2
1	103.4
1	103.6
1	103.8
1	104.0
1	104.2
1	104.4
1	104.6
1	104.8
1	105.0
1	105.2
1	105.4
1	105.6
1	105.8
1	106.0
1	106.2
1	106.4
1	106.6
1	106.8
1	107.0
1	107.2
1	107.4
1	107.6
1	107.8
1	108.0
1	108.2
1	108.4
1	108.6
1	108.8
1	109.0
1	109.2
1	109.4
1	109.6
1	109.8
1	110.0
1	110.2
1	110.4
1	110.6
1	110.8
1	111.0
1	111.2
1	111.4
1	111.6
1	111.8
1	112.0
1	112.2
1	112.4
1	112.6
1	112.8
1	113.0
1	113.2
1	113.4
1	113.6
1	113.8
1	114.0
1	114.2
1	114.4
1	114.6
1	114.8
1	115.0
1	115.2
1	115.4
1	115.6
1	115.8
1	116.0
1	116.2
1	116.4
1	116.6
1	116.8
1	117.0
1	117.2
1	117.4
1	117.6
1	117.8
1	118.0
1	118.2
1	118.4
1	118.6
1	118.8
1	119.0
1	119.2
1	119.4
1	119.6
1	119.8
1	120.0
1	120.2
1	120.4
1	120.6
1	120.8
1	121.0
1	121.2
1	121.4
1	121.6
1	121.8
1	122.0
1	122.2
1	122.4
1	122.6
1	122.8
1	123.0
1	123.2
1	123.4
1	123.6
1	123.8
1	124.0
1	124.2
1	124.4
1	124.6
1	124.8
1	125.0
1	125.2
1	125.4
1	125.6
1	125.8
1	126.0
1	126.2
1	126.4
1	126.6
1	126.8
1	127.0
1	127.2
1	127.4
1	127.6
1	127.8
1	128.0
1	128.2
1	128.4
1	128.6
1	128.8
1	129.0
1	129.2
1	129.4
1	129.6
1	129.8
1	130.0
1	130.2
1	130.4
1	130.6
1	130.8
1	131.0
1	131.2
1	131.4
1	131.6
1	131.8
1	132.0
1	132.2
1	132.4
1	132.6
1	132.8
1	133.0
1	133.2
1	133.4
1	133.6
1	133.8
1	134.0
1	134.2
1	134.4
1	134.6
1	134.8
1	135.0
1	135.2
1	135.4
1	135.6
1	135.8
1	136.0
1	136.2
1	136.4
1	136.6
1	136.8
1	137.0
1	137.2
1	137.4
1	137.6
1	137.8
1	138.0
1	138.2
1	138.4
1	138.6
1	138.8
1	139.0
1	139.2
1	139.4
1	139.6
1	139.8
1	140.0
1	140.2
1	140.4
1	140.6
1	140.8
1	141.0
1	141.2
1	141.4
1	141.6
1	141.8
1	142.0
1	142.2
1	142.4
1	142.6
1	142.8
1	143.0
1	143.2
1	143.4
1	143.6
1	143.8
1	144.0
1	144.2
1	144.4
1	144.6
1	144.8
1	145.0
1	145.2
1	145.4
1	145.6
1	145.8
1	146.0
1	146.2
1	146.4
1	146.6
1	146.8
1	147.0
1	147.2
1	147.4
1	147.6
1	147.8
1	148.0
1	148.2
1	148.4
1	148.6
1	148.8
1	149.0
1	149.2
1	149.4
1	149.6
1	149.8
1	150.0
1	150.2
1	150.4
1	150.6
1	150.8
1	151.0
1	151.2
1	151.4
1	151.6
1	151.8
1	152.0
1	152.2
1	152.4
1	152.6
1	152.8
1	153.0
1	153.2
1	153.4
1	153.6
1	153.8
1	154.0
1	154.2
1	154.4
1	154.6
1	154.8
1	155.0
1	155.2
1	155.4
1	155.6
1	155.8
1	156.0
1	156.2
1	156.4
1	156.6
1	156.8
1	157.0
1	157.2
1	157.4
1	157.6
1	157.8
1	158.0
1	158.2
1	158.4
1	158.6
1	158.8
1	159.0
1	159.2
1	159.4
1	159.6
1	159.8
1	160.0
1	160.2
1	160.4
1	160.6
1	160.8
1	161.0
1	161.2
1	161.4
1	161.6
1	161.8
1	162.0
1	162.2
1	162.4
1	162.6
1	162.8
1	163.0
1	163.2
1	163.4
1	163.6
1	163.8
1	164.0
1	164.2
1	164.4
1	164.6
1	164.8
1	165.0
1	165.2
1	165.4
1	165.6
1	165.8
1	166.0
1	166.2
1	166.4
1	166.6
1	166.8
1	167.0
1	167.2
1	167.4
1	167.6
1	167.8
1	168.0
1	168.2
1	168.4
1	168.6
1	168.8
1	169.0
1	169.2
1	169.4
1	169.6
1	169.8
1	170.0
1	170.2
1	170.4
1	170.6
1	170.8
1	171.0
1	171.2
1	171.4
1	171.6
1	171.8
1	172.0
1	172.2
1	172.4
1	172.6
1	172.8
1	173.0
1	173.2
1	173.4
1	173.6
1	173.8
1	174.0
1	174.2
1	174.4
1	174.6
1	174.8
1	175.0
1	175.2
1	175.4
1	175.6
1	175.8
1	176.0
1	176.2
1	176.4
1	176.6
1	176.8
1	177.0
1	177.2
1	177.4
1	177.6
1	177.8
1	178.0
1	178.2
1	178.4
1	178.6
1	178.8
1	179.0
1	179.2
1	179.4
1	179.6
1	179.8
1	180.0
1	180.2
1	180.4
1	180.6
1	180.8
1	181.0
1	181.2
1	181.4
1	181.6
1	181.8
1	182.0
1	182.2
1	182.4
1	182.6
1	182.8
1	183.0
1	183.2
1	183.4
1	183.6
1	183.8
1	184.0
1	184.2
1	184.4
1	184.6
1	184.8
1	185.0
1	185.2
1	185.4
1	185.6
1	185.8
1	186.0
1	186.2
1	186.4
1	186.6
1	186.8
1	187.0
1	187.2
1	187.4
1	187.6
1	187.8
1	188.0
1	188.2
1	188.4
1	188.6
1	188.8
1	189.0
1	189.2
1	189.4
1	189.6
1	189.8
1	190.0
1	190.2
1	190.4
1	190.6
1	190.8
1	191.0
1	191.2
1	191.4
1	191.6
1	191.8
1	192.0
1	192.2
1	192.4
1	192.6
1	192.8
1	193.0
1	193.2
1	193.4
1	193.6
1	193.8
1	194.0
1	194.2
1	194.4
1	194.6
1	194.8
1	195.0
1	195.2
1	195.4
1	195.6
1	195.8
1	196.0
1	196.2
1	196.4
1	196.6
1	196.8
1	197.0
1	197.2
1	197.4
1	197.6
1	197.8
1	198.0
1	198.2
1	198.4
1	198.6
1	198.8
1	199.0
1	199.2
1	199.4
1	199.6
1	199.8
1	200.0
1	200.2
1	200.4
1	200.6
1	200.8
1	201.0
1	201.2
1	201.4
1	201.6
1	201.8
1	202.0
1	202.2
1	202.4
1	202.6
1	202.8
1	203.0
1	203.2
1	203.4
1	203.6
1	203.8
1	204.0
1	204.2
1	204.4
1	204.6
1	204.8
1	205.0
1	205.2
1	205.4
1	205.6
2	-3.6
2	-3.4
2	-3.2
2	-3.0
2	-2.8
2	-2.6
2	-2.4
2	-2.2
2	-2.0
2	-1.8
2	-1.6
2	-1.4
2	-1.2
2	-1.0
2	-0.8
2	-0.6
2	-0.4
2	-0.2
2	0.0
2	0.2
2	0.4
2	0.6
2	0.8
2	1.0
2	1.2
2	1.4
2	1.6
2	1.8
2	2.0
2	2.2
2	2.4
2	2.6
2	2.8
2	3.0
2	3.2
2	3.4
2	3.6
2	3.8
2	4.0
2	4.2
2	4.4
2	4.6
2	4.8
2	5.0
2	5.2
2	5.4
2	5.6
2	5.8
2	6.0
2	6.2
2	6.4
2	6.6
2	6.8
2	7.0
2	7.2
2	7.4
2	7.6
2	7.8
2	8.0
2	8.2
2	8.4
2	8.6
2	8.8
2	9.0
2	9.2
2	9.4
2	9.6
2	9.8
2	10.0
2	10.2
2	10.4
2	10.6
2	10.8
2	11.0
2	11.2
2	11.4
2	11.6
2	11.8
2	12.0
2	12.2
2	12.4
2	12.6
2	12.8
2	13.0
2	13.2
2	13.4
2	13.6
2	13.8
2	14.0
2	14.2
2	14.4
2	14.6
2	14.8
2	15.0
2	15.2
2	15.4
2	15.6
2	15.8
2	16.0
2	16.2
2	16.4
2	16.6
2	16.8
2	17.0
2	17.2
2	17.4
2	17.6
2	17.8
2	18.0
2	18.2
2	18.4
2	18.6
2	18.8
2	19.0
2	19.2
2	19.4
2	19.6
2	19.8
2	20.0
2	20.2
2	20.4
2	20.6
2	20.8
2	21.0
2	21.2
2	21.4
2	21.6
2	21.8
2	22.0
2	22.2
2	22.4
2	22.6
2	22.8
2	23.0
2	23.2
2	23.4
2	23.6
2	23.8
2	24.0
2	24.2
2	24.4
2	24.6
2	24.8
2	25.0
2	25.2
2	25.4
2	25.6
2	25.8
2	26.0
2	26.2
2	26.4
2	26.6
2	26.8
2	27.0
2	27.2
2	27.4
2	27.6
2	27.8
2	28.0
2	28.2
2	28.4
2	28.6
2	28.8
2	29.0
2	29.2
2	29.4
2	29.6
2	29.8
2	30.0
2	30.2
2	30.4
2	30.6
2	30.8
2	31.0
2	31.2
2	31.4
2	31.6
2	31.8
2	32.0
2	32.2
2	32.4
2	32.6
2	32.8
2	33.0
2	33.2
2	33.4
2	33.6
2	33.8
2	34.0
2	34.2
2	34.4
2	34.6
2	34.8
2	35.0
2	35.2
2	35.4
2	35.6
2	35.8
2	36.0
2	36.2
2	36.4
2	36.6
2	36.8
2	37.0
2	37.2
2	37.4
2	37.6
2	37.8
2	38.0
2	38.2
2	38.4
2	38.6
2	38.8
2	39.0
2	39.2
2	39.4
2	39.6
2	39.8
2	40.0
2	40.2
2	40.4
2	40.6
2	40.8
2	41.0
2	41.2
2	41.4
2	41.6
2	41.8
2	42.0
2	42.2
2	42.4
2	42.6
2	42.8
2	43.0
2	43.2
2	43.4
2	43.6
2	43.8
2	44.0
2	44.2
2	44.4
2	44.6
2	44.8
2	45.0
2	45.2
2	45.4
2	45.6
2	45.8
2	46.0
2	46.2
2	46.4
2	46.6
2	46.8
2	47.0
2	47.2
2	47.4
2	47.6
2	47.8
2	48.0
2	48.2
2	48.4
2	48.6
2	48.8
2	49.0
2	49.2
2	49.4
2	49.6
2	49.8
2	50.0
2	50.2
2	50.4
2	50.6
2	50.8
2	51.0
2	51.2
2	51.4
2	51.6
2	51.8
2	52.0
2	52.2
2	52.4
2	52.6
2	52.8
2	53.0
2	53.2
2	53.4
2	53.6
2	53.8
2	54.0
2	54.2
2	54.4
2	54.6
2	54.8
2	55.0
2	55.2
2	55.4
2	55.6
2	55.8
2	56.0
2	56.2
2	56.4
2	56.6
2	56.8
2	57.0
2	57.2
2	57.4
2	57.6
2	57.8
2	58.0
2	58.2
2	58.4
2	58.6
2	58.8
2	59.0
2	59.2
2	59.4
2	59.6
2	59.8
2	60.0
2	60.2
2	60.4
2	60.6
2	60.8
2	61.0
2	61.2
2	61.4
2	61.6
2	61.8
2	62.0
2	62.2
2	62.4
2	62.6
2	62.8
2	63.0
2	63.2
2	63.4
2	63.6
2	63.8
2	64.0
2	64.2
2	64.4
2	64.6
2	64.8
2	65.0
2	65.2
2	65.4
2	65.6
2	65.8
2	66.0
2	66.2
2	66.4
2	66.6
2	66.8
2	67.0
2	67.2
2	67.4
2	67.6
2	67.8
2	68.0
2	68.2
2	68.4
2	68.6
2	68.8
2	69.0
2	69.2
2	69.4
2	69.6
2	69.8
2	70.0
2	70.2
2	70.4
2	70.6
2	70.8
2	71.0
2	71.2
2	71.4
2	71.6
2	71.8
2	72.0
2	72.2
2	72.4
2	72.6
2	72.8
2	73.0
2	73.2
2	73.4
2	73.6
2	73.8
2	74.0
2	74.2
2	74.4
2	74.6
2	74.8
2	75.0
2	75.2
2	75.4
2	75.6
2	75.8
2	76.0
2	76.2
2	76.4
2	76.6
2	76.8
2	77.0
2	77.2
2	77.4
2	77.6
2	77.8
2	78.0
2	78.2
2	78.4
2	78.6
2	78.8
2	79.0
2	79.2
2	79.4
2	79.6
2	79.8
2	80.0
2	80.2
2	80.4
2	80.6
2	80.8
2	81.0
2	81.2
2	81.4
2	81.6
2	81.8
2	82.0
2	82.2
2	82.4
2	82.6
2	82.8
2	83.0
2	83.2
2	83.4
2	83.6
2	83.8
2	84.0
2	84.2
2	84.4
2	84.6
2	84.8
2	85.0
2	85.2
2	85.4
2	85.6
2	85.8
2	86.0
2	86.2
2	86.4
2	86.6
2	86.8
2	87.0
2	87.2
2	87.4
2	87.6
2	87.8
2	88.0
2	88.2
2	88.4
2	88.6
2	88.8
2	89.0
2	89.2
2	89.4
2	89.6
2	89.8
2	90.0
2	90.2
2	90.4
2	90.6
2	90.8
2	91.0
2	91.2
2	91.4
2	91.6
2	91.8
2	92.0
2	92.2
2	92.4
2	92.6
2	92.8
2	93.0
2	93.2
2	93.4
2	93.6
2	93.8
2	94.0
2	94.2
2	94.4
2	94.6
2	94.8
2	95.0
2	95.2
2	95.4
2	95.6
2	95.8
2	96.0
2	96.2
2	96.4
2	96.6
2	96.8
2	97.0
2	97.2
2	97.4
2	97.6
2	97.8
2	98.0
2	98.2
2	98.4
2	98.6
2	98.8
2	99.0
2	99.2
2	99.4
2	99.6
2	99.8
2	100.0
2	100.2
2	100.4
2	100.6
2	100.8
2	101.0
2	101.2
2	101.4
2	101.6
2	101.8
2	102.0
2	102.2
2	102.4
2	102.6
2	102.8
2	103.0
2	103.2
2	103.4
2	103.6
2	103.8
2	104.0
2	104.2
2	104.4
2	104.6
2	104.8
2	105.0
2	105.2
2	105.4
2	105.6
2	105.8
2	106.0
2	106.2
2	106.4
2	106.6
2	106.8
2	107.0
2	107.2
2	107.4
2	107.6
2	107.8
2	108.0
2	108.2
2	108.4
2	108.6
2	108.8
2	109.0
2	109.2
2	109.4
2	109.6
2	109.8
2	110.0
2	110.2
2	110.4
2	110.6
2	110.8
2	111.0
2	111.2
2	111.4
2	111.6
2	111.8
2	112.0
2	112.2
2	112.4
2	112.6
2	112.8
2	113.0
2	113.2
2	113.4
2	113.6
2	113.8
2	114.0
2	114.2
2	114.4
2	114.6
2	114.8
2	115.0
2	115.2
2	115.4
2	115.6
2	115.8
2	116.0
2	116.2
2	116.4
2	116.6
2	116.8
2	117.0
2	117.2
2	117.4
2	117.6
2	117.8
2	118.0
2	118.2
2	118.4
2	118.6
2	118.8
2	119.0
2	119.2
2	119.4
2	119.6
2	119.8
2	120.0
2	120.2
2	120.4
2	120.6
2	120.8
2	121.0
2	121.2
2	121.4
2	121.6
2	121.8
2	122.0
2	122.2
2	122.4
2	122.6
2	122.8
2	123.0
2	123.2
2	123.4
2	123.6
2	123.8
2	124.0
2	124.2
2	124.4
2	124.6
2	124.8
2	125.0
2	125.2
2	125.4
2	125.6
2	125.8
2	126.0
2	126.2
2	126.4
2	126.6
2	126.8
2	127.0
2	127.2
2	127.4
2	127.6
2	127.8
2	128.0
2	128.2
2	128.4
2	128.6
2	128.8
2	129.0
2	129.2
2	129.4
2	129.6
2	129.8
2	130.0
2	130.2
2	130.4
2	130.6
2	130.8
2	131.0
2	131.2
2	131.4
2	131.6
2	131.8
2	132.0
2	132.2
2	132.4
2	132.6
2	132.8
2	133.0
2	133.2
2	133.4
2	133.6
2	133.8
2	134.0
2	134.2
2	134.4
2	134.6
2	134.8
2	135.0
2	135.2
2	135.4
2	135.6
2	135.8
2	136.0
2	136.2
2	136.4
2	136.6
2	136.8
2	137.0
2	137.2
2	137.4
2	137.6
2	137.8
2	138.0
2	138.2
2	138.4
2	138.6
2	138.8
2	139.0
2	139.2
2	139.4
2	139.6
2	139.8
2	140.0
2	140.2
2	140.4
2	140.6
2	140.8
2	141.0
2	141.2
2	141.4
2	141.6
2	141.8
2	142.0
2	142.2
2	142.4
2	142.6
2	142.8
2	143.0
2	143.2
2	143.4
2	143.6
2	143.8
2	144.0
2	144.2
2	144.4
2	144.6
2	144.8
2	145.0
2	145.2
2	145.4
2	145.6
2	145.8
2	146.0
2	146.2
2	146.4
2	146.6
2	146.8
2	147.0
2	147.2
2	147.4
2	147.6
2	147.8
2	148.0
2	148.2
2	148.4
2	148.6
2	148.8
2	149.0
2	149.2
2	149.4
2	149.6
2	149.8
2	150.0
2	150.2
2	150.4
2	150.6
2	150.8
2	151.0
2	151.2
2	151.4
2	151.6
2	151.8
2	152.0
2	152.2
2	152.4
2	152.6
2	152.8
2	153.0
2	153.2
2	153.4
2	153.6
2	153.8
2	154.0
2	154.2
2	154.4
2	154.6
2	154.8
2	155.0
2	155.2
2	155.4
2	155.6
2	155.8
2	156.0
2	156.2
2	156.4
2	156.6
2	156.8
2	157.0
2	157.2
2	157.4
2	157.6
3	-5.2
3	-5.0
3	-4.8
3	-4.6
3	-4.4
3	-4.2
3	-4.0
3	-3.8
3	-3.6
3	-3.4
3	-3.2
3	-3.0
3	-2.8
3	-2.6
3	-2.4
3	-2.2
3	-2.0
3	-1.8
3	-1.6
3	-1.4
3	-1.2
3	-1.0
3	-0.8
3	-0.6
3	-0.4
3	-0.2
3	0.0
3	0.2
3	0.4
3	0.6
3	0.8
3	1.0
3	1.2
3	1.4
3	1.6
3	1.8
3	2.0
3	2.2
3	2.4
3	2.6
3	2.8
3	3.0
3	3.2
3	3.4
3	3.6
3	3.8
3	4.0
3	4.2
3	4.4
3	4.6
3	4.8
3	5.0
3	5.2
3	5.4
3	5.6
3	5.8
3	6.0
3	6.2
3	6.4
3	6.6
3	6.8
3	7.0
3	7.2
3	7.4
3	7.6
3	7.8
3	8.0
3	8.2
3	8.4
3	8.6
3	8.8
3	9.0
3	9.2
3	9.4
3	9.6
3	9.8
3	10.0
3	10.2
3	10.4
3	10.6
3	10.8
3	11.0
3	11.2
3	11.4
3	11.6
3	11.8
3	12.0
3	12.2
3	12.4
3	12.6
3	12.8
3	13.0
3	13.2
3	13.4
3	13.6
3	13.8
3	14.0
3	14.2
3	14.4
3	14.6
3	14.8
3	15.0
3	15.2
3	15.4
3	15.6
3	15.8
3	16.0
3	16.2
3	16.4
3	16.6
3	16.8
3	17.0
3	17.2
3	17.4
3	17.6
3	17.8
3	18.0
3	18.2
3	18.4
3	18.6
3	18.8
3	19.0
3	19.2
3	19.4
3	19.6
3	19.8
3	20.0
3	20.2
3	20.4
3	20.6
3	20.8
3	21.0
3	21.2
3	21.4
3	21.6
3	21.8
3	22.0
3	22.2
3	22.4
3	22.6
3	22.8
3	23.0
3	23.2
3	23.4
3	23.6
3	23.8
3	24.0
3	24.2
3	24.4
3	24.6
3	24.8
3	25.0
3	25.2
3	25.4
3	25.6
3	25.8
3	26.0
3	26.2
3	26.4
3	26.6
3	26.8
3	27.0
3	27.2
3	27.4
3	27.6
3	27.8
3	28.0
3	28.2
3	28.4
3	28.6
3	28.8
3	29.0
3	29.2
3	29.4
3	29.6
3	29.8
3	30.0
3	30.2
3	30.4
3	30.6
3	30.8
3	31.0
3	31.2
3	31.4
3	31.6
3	31.8
3	32.0
3	32.2
3	32.4
3	32.6
3	32.8
3	33.0
3	33.2
3	33.4
3	33.6
3	33.8
3	34.0
3	34.2
3	34.4
3	34.6
3	34.8
3	35.0
3	35.2
3	35.4
3	35.6
3	35.8
3	36.0
3	36.2
3	36.4
3	36.6
3	36.8
3	37.0
3	37.2
3	37.4
3	37.6
3	37.8
3	38.0
3	38.2
3	38.4
3	38.6
3	38.8
3	39.0
3	39.2
3	39.4
3	39.6
3	39.8
3	40.0
3	40.2
3	40.4
3	40.6
3	40.8
3	41.0
3	41.2
3	41.4
3	41.6
3	41.8
3	42.0
3	42.2
3	42.4
3	42.6
3	42.8
3	43.0
3	43.2
3	43.4
3	43.6
3	43.8
3	44.0
3	44.2
3	44.4
3	44.6
3	44.8
3	45.0
3	45.2
3	45.4
3	45.6
3	45.8
3	46.0
3	46.2
3	46.4
3	46.6
3	46.8
3	47.0
3	47.2
3	47.4
3	47.6
3	47.8
3	48.0
3	48.2
3	48.4
3	48.6
3	48.8
3	49.0
3	49.2
3	49.4
3	49.6
3	49.8
3	50.0
3	50.2
3	50.4
3	50.6
3	50.8
3	51.0
3	51.2
3	51.4
3	51.6
3	51.8
3	52.0
3	52.2
3	52.4
3	52.6
3	52.8
3	53.0
3	53.2
3	53.4
3	53.6
3	53.8
3	54.0
3	54.2
3	54.4
3	54.6
3	54.8
3	55.0
3	55.2
3	55.4
3	55.6
3	55.8
3	56.0
3	56.2
3	56.4
3	56.6
3	56.8
3	57.0
3	57.2
3	57.4
3	57.6
3	57.8
3	58.0
3	58.2
3	58.4
3	58.6
3	58.8
3	59.0
3	59.2
3	59.4
3	59.6
3	59.8
3	60.0
3	60.2
3	60.4
3	60.6
3	60.8
3	61.0
3	61.2
3	61.4
3	61.6
3	61.8
3	62.0
3	62.2
3	62.4
3	62.6
3	62.8
3	63.0
3	63.2
3	63.4
3	63.6
3	63.8
3	64.0
3	64.2
3	64.4
3	64.6
3	64.8
3	65.0
3	65.2
3	65.4
3	65.6
3	65.8
3	66.0
3	66.2
3	66.4
3	66.6
3	66.8
3	67.0
3	67.2
3	67.4
3	67.6
3	67.8
3	68.0
3	68.2
3	68.4
3	68.6
3	68.8
3	69.0
3	69.2
3	69.4
3	69.6
3	69.8
3	70.0
3	70.2
3	70.4
3	70.6
3	70.8
3	71.0
3	71.2
3	71.4
3	71.6
3	71.8
3	72.0
3	72.2
3	72.4
3	72.6
3	72.8
3	73.0
3	73.2
3	73.4
3	73.6
3	73.8
3	74.0
3	74.2
3	74.4
3	74.6
3	74.8
3	75.0
3	75.2
3	75.4
3	75.6
3	75.8
3	76.0
3	76.2
3	76.4
3	76.6
3	76.8
3	77.0
3	77.2
3	77.4
3	77.6
3	77.8
3	78.0
3	78.2
3	78.4
3	78.6
3	78.8
3	79.0
3	79.2
3	79.4
3	79.6
3	79.8
3	80.0
3	80.2
3	80.4
3	80.6
3	80.8
3	81.0
3	81.2
3	81.4
3	81.6
3	81.8
3	82.0
3	82.2
3	82.4
3	82.6
3	82.8
3	83.0
3	83.2
3	83.4
3	83.6
3	83.8
3	84.0
3	84.2
3	84.4
3	84.6
3	84.8
3	85.0
3	85.2
3	85.4
3	85.6
3	85.8
3	86.0
3	86.2
3	86.4
